36255	18098	19742	18196	13895	38146	3944	4561	21040	38895	25346	5921	18620	42823	2164	14572	15802	48165	2638	46799
15660	6227	3741	29151	41597	37939	33487	8354	5271	23808	34753	7615	46142	18432	9241	35405	1231	6946	2921	15801
453	30112	26594	20195	49703	25816	45714	22726	28534	12212	26155	8640	432	48802	9715	37588	23622	43385	38318	45304
23312	33718	19616	2804	12330	26176	30899	5412	13457	47543	35426	26368	78	28873	40162	9690	25133	49172	41365	25617
16090	4872	14778	17371	26080	21493	31820	21007	46950	21043	13210	39906	48204	20359	38195	610	49967	40995	25929	33459
13697	30744	45948	41305	27480	42402	35893	21854	25583	20744	23402	30522	25065	10176	49849	48574	40939	39895	28332	26851
9508	37076	45254	20693	7006	21255	9944	49623	29269	4273	9541	13111	36365	12976	48405	10014	18762	30317	44491	10545
33843	19826	46001	20273	4028	9971	18782	24938	46889	19493	33622	37119	25591	15948	19979	34599	41698	39423	5666	10452
24684	38856	11068	15502	37121	15570	30829	4154	18725	40485	46176	44144	21975	16010	21695	36129	1057	31357	30280	12873
30803	12973	3512	40	25494	9641	42906	47951	30192	32705	19228	7241	40837	31752	45156	24325	24930	26834	46160	36396
43734	27463	25349	10383	40558	24671	471	45347	20115	44405	6876	46280	1586	42206	22227	208	22491	44495	7861	3159
12631	46578	5212	12739	6238	38180	12755	11477	28081	29776	21508	24640	1665	634	20916	10310	27336	25871	43059	14704
29746	5943	42744	24248	4191	22104	6163	44309	31220	22689	20190	902	26390	20797	44903	25651	28917	30582	13302	3893
29034	26461	42322	9961	9517	25502	31040	29079	35440	8333	2484	6160	34670	45488	44614	4697	41971	24050	25027	36444
889	22563	1485	28895	49833	1882	10891	4795	15336	47642	44836	37851	1682	42952	10796	11680	29876	26587	12277	25732
18725	20799	46726	48430	12955	35828	47591	6905	22118	10750	22054	44936	12150	34453	11139	7816	40505	40096	24613	49921
10400	11470	44790	31543	18956	48680	27656	9328	47025	47764	31427	29973	39007	29924	39667	35968	38953	41164	12764	41851
24735	32111	32005	35784	8580	45382	9593	45166	10132	34499	46224	5398	5189	29619	26074	5060	3803	45589	35791	8401
15419	15918	9866	13650	43730	44233	16507	29248	9975	6202	3313	43301	8003	22995	29439	22713	34359	15438	22976	35496
15824	11547	5032	11807	2953	36096	21041	29274	46389	10715	24626	9380	25206	22927	47153	121	33405	19327	27946	27540
6445	45967	38113	3454	14136	45553	1848	19288	37370	5714	20837	32951	8940	19280	12716	5904	25866	18333	26030	38909
28107	4684	35999	40141	28502	45620	8578	35413	28125	8484	25176	8684	14142	47373	46338	11910	48831	29519	6762	11835
32923	40871	45440	40814	37560	32906	4379	45334	19178	25961	1760	36471	22924	20410	29015	43787	26211	20910	2442	31601
20124	38230	5386	32050	15463	23421	46469	1482	16123	24826	15390	15984	44019	43353	37683	33429	31915	49886	41728	7843
4945	13368	30881	48635	16438	49387	46343	40153	27608	5640	33071	23574	36663	11866	37944	43546	49326	40072	23309	49636
28056	3910	5162	7217	47168	40126	46761	49369	32937	20811	49439	30230	37295	18777	12275	49748	16113	13002	31772	48887
17792	43567	13233	14141	34517	16055	2632	39305	29675	44822	4656	1911	2101	25754	4802	5550	36022	15873	37887	48453
35093	26590	36285	48398	3710	35471	14717	47022	9025	2107	33493	11319	38420	14324	26353	13479	47899	36815	27425	3807
35849	6186	48982	6871	39113	4608	14132	40655	44826	28796	44944	15952	28391	22585	33128	9031	46286	19826	13700	33222
9860	22887	20005	30696	22265	11156	20549	23652	22695	10440	25363	9195	2369	15424	31764	45469	19760	15918	25206	33820
23908	31929	21581	23513	33365	42132	26583	48060	29452	19204	8659	7812	25470	12390	17400	2204	8081	3354	17680	19087
48685	14745	34658	20995	3375	1663	21055	40617	31372	46020	36456	16782	14451	35102	6853	39626	29989	17300	42129	11137
20759	15891	4229	16682	5187	34792	4152	17827	17172	10344	1678	24113	13366	34713	5919	42898	7314	12110	4779	1933
38502	8043	39865	10265	32699	44329	36424	21426	4965	33258	20649	20691	6550	13377	1624	22037	30715	29434	22322	38352
23301	21161	10808	49617	28721	23347	44489	46296	23028	15803	37448	28698	6193	8829	12101	2371	19006	2003	13062	38188
48296	16084	47283	49300	3163	16023	30299	45068	32294	36637	27425	44398	19340	11681	7143	9223	42565	17602	32042	30800
3484	42270	38859	4541	43200	14383	33722	27274	42247	18864	45283	5971	19440	27654	38030	7603	42714	43276	24682	30264
31720	29878	27313	40781	41045	20152	37743	8979	42455	42904	7444	4542	15145	44263	7722	3430	27504	29044	41077	41689
6395	25429	2393	4177	18315	7896	15557	45164	25470	10429	34440	11714	3588	12140	1742	21026	36049	6254	30017	20017
10254	43890	2487	42340	13037	25111	26521	4679	42464	19559	47745	24683	26677	21838	17389	7206	45305	43924	32180	36926
16973	8687	40554	12391	1903	1019	17460	34162	10832	19170	30175	15909	41298	34320	36934	12067	33354	37127	23272	10923
32892	23027	36970	46263	45226	38297	237	8746	29834	44902	10481	22511	19375	2205	1463	3634	46598	38814	10508	37043
11114	32511	26178	26541	49598	17787	29545	12756	19702	36048	14597	6582	23887	37364	48241	24258	2919	19000	37442	17833
11211	18170	4119	13026	39015	27101	13502	19972	35158	43932	30833	20120	10583	45100	31910	42055	30293	48964	18117	602
35642	12466	4793	20043	32356	45757	31467	13648	14424	33207	41942	22216	41034	3538	7465	23546	31758	11187	8496	6098
78	17494	5095	18311	29297	45642	28051	6415	21848	42403	45915	66	5334	17804	19329	46758	9023	31847	25848	39300
23304	5015	208	8705	48298	47639	3810	1866	28595	11005	12218	44745	34379	15936	2635	28507	616	49713	25565	40886
35284	29700	1308	30766	16988	19883	1593	12875	30565	43282	36075	22343	40724	37832	5473	9851	34429	15338	31155	36015
2524	5563	12732	17132	39016	39032	19157	4501	41066	2701	12445	7911	36971	34051	47807	40624	49942	31641	21587	29627
